Born,90s,Gls,Ast,CrdY,CrdR,Pos_format,Player_format
2003,1,0,0,0,0,1,179
1996,12,1,0,6,0,1,180
2004,2,0,0,3,0,1,181
1988,8,2,0,0,0,1,182
1993,28,0,7,10,0,1,183
2001,8,0,0,2,0,1,184
1992,31,1,2,4,0,1,185
1999,35,2,3,6,1,1,186
2002,12,1,0,1,0,1,187
1999,22,1,2,1,0,1,188
1998,10,1,0,0,0,1,189
1995,27,0,0,9,0,1,190
1988,17,0,0,5,1,1,191
1990,30,1,1,6,0,1,192
2005,0,0,0,0,0,1,193
1994,1,0,0,0,0,1,194
2001,3,0,0,1,0,1,195
1998,31,5,0,7,1,1,196
1999,22,3,1,7,0,1,197
1998,20,0,2,10,0,1,198
1991,27,1,1,7,0,1,199
1992,0,0,0,0,0,1,200
1998,30,1,0,6,0,1,201
2004,0,0,0,0,0,1,202
2003,8,0,0,2,0,1,203
1990,24,1,1,7,0,1,204
1995,24,0,0,5,0,1,205
2000,17,3,5,1,0,1,206
1993,12,1,0,2,0,1,207
2000,23,2,5,0,0,1,208
1995,9,0,0,2,0,1,209
2001,17,0,0,6,0,1,210
2004,0,0,0,0,0,1,211
1992,10,3,2,4,0,1,212
1995,9,0,1,5,1,1,213
1989,27,2,1,2,0,1,214
1994,19,3,2,2,0,1,215
1997,36,0,6,6,0,1,216
1993,32,1,1,10,0,1,217
1983,32,1,1,5,1,1,218
1996,20,1,1,5,1,1,219
1997,16,0,0,4,1,1,220
1996,4,0,0,0,0,1,221
2000,36,0,0,9,1,1,222
1998,5,0,0,2,0,1,223
1995,11,0,1,4,0,1,224
2002,1,0,0,1,0,1,225
1998,30,0,1,3,0,1,226
1992,5,0,0,2,0,1,227
1995,12,0,1,0,0,1,228
1999,0,0,0,0,0,1,229
2002,19,0,0,6,1,1,230
1991,31,1,0,7,0,1,231
1997,12,0,0,4,0,1,232
1999,6,0,1,0,0,1,233
1997,15,0,0,5,0,1,234
2000,6,0,0,1,1,1,235
1991,32,3,1,7,1,1,236
1998,9,1,1,3,0,1,237
1991,0,0,0,0,0,1,238
1998,9,0,2,3,0,1,239
1996,28,2,1,5,0,1,240
1996,12,1,3,4,1,1,241
1998,20,1,4,1,0,1,242
1988,16,0,1,2,0,1,243
1998,14,2,3,4,0,1,244
2002,11,1,1,2,0,1,245
2002,14,0,0,6,0,1,245
1989,0,0,0,0,0,1,246
1992,28,0,1,9,0,1,247
1999,9,1,0,7,1,1,248
1998,29,1,0,5,0,1,249
2003,16,3,2,1,1,1,250
2000,33,0,0,1,0,1,251
2004,1,0,0,1,0,1,252
1999,13,1,0,4,0,1,253
1991,22,0,0,2,0,1,254
1994,9,0,1,2,0,1,255
1993,6,0,0,2,0,1,256
1996,18,4,4,2,1,1,257
1995,21,2,1,7,0,1,258
2001,18,0,0,2,0,1,259
2003,21,1,3,2,0,1,260
2003,0,0,0,0,0,1,261
2002,15,0,2,5,0,1,262
1994,15,1,1,2,0,1,263
1992,13,1,0,2,0,1,264
1998,24,2,0,2,0,1,265
1998,6,0,0,0,0,1,266
1998,25,7,2,2,0,1,267
1993,32,0,1,5,0,1,268
1992,8,0,0,2,0,1,269
1991,28,0,0,14,1,1,270
2003,13,2,0,1,0,1,271
2000,0,0,0,0,0,1,272
1998,29,2,0,6,0,1,273
2001,16,0,0,1,0,1,274
1998,7,0,0,0,0,1,275
1999,11,0,0,3,0,1,276
1997,27,1,2,7,0,1,277
1995,10,0,0,5,2,1,278
2005,6,0,0,1,0,1,279
2002,19,2,1,1,0,1,280
2002,5,0,0,1,0,1,280
2001,10,1,0,6,0,1,281
1998,7,0,0,3,0,1,282
1993,28,2,0,1,0,1,283
2003,18,0,0,4,0,1,284
2002,22,1,0,4,0,1,285
1999,32,2,8,5,0,1,286
2002,14,0,2,1,1,1,287
1997,36,0,0,10,1,1,288
1999,34,3,7,3,0,1,289
1998,33,2,4,5,0,1,290
2004,17,2,0,6,0,1,291
1990,0,0,0,2,0,1,292
1993,12,1,2,1,0,1,293
1998,19,1,0,5,1,1,294
2003,20,0,6,7,1,1,295
1991,5,0,0,0,0,1,296
1994,24,1,0,15,1,1,297
1994,8,0,1,3,0,1,298
1996,30,2,0,10,0,1,299
1992,21,1,0,1,0,1,300
2002,23,7,2,7,1,1,301
1998,2,0,1,0,0,1,302
1996,16,1,0,3,0,1,303
1998,1,0,0,0,0,1,302
2000,26,2,2,9,0,1,304
1996,4,0,0,2,0,1,305
1989,13,0,1,1,0,1,306
2000,10,1,3,1,0,1,307
1995,24,1,6,1,1,1,308
1997,38,2,0,7,0,1,309
1993,24,1,0,4,0,1,310
1999,7,0,0,1,0,1,311
1991,12,1,0,3,0,1,312
2005,1,1,0,0,0,1,313
1997,16,1,4,1,1,1,314
1997,21,0,2,5,1,1,315
1998,32,1,2,4,0,1,316
2004,4,0,0,3,0,1,317
2001,11,0,0,1,0,1,318
1998,10,0,2,2,0,1,319
2001,7,1,0,1,0,1,320
1992,20,0,4,2,0,1,321
2001,20,1,0,3,0,1,322
1997,34,1,0,5,0,1,323
1994,3,0,0,1,0,1,324
2005,2,0,0,1,0,1,325
1996,32,4,1,9,0,1,326
1999,18,0,0,5,1,1,327
2004,12,1,1,4,0,1,328
1994,8,2,1,2,0,1,329
1994,34,2,0,1,0,1,330
1998,13,0,4,1,0,1,331
1992,25,1,0,4,0,1,332
1995,13,0,2,2,0,1,333
1997,15,0,1,4,1,1,334
1997,20,0,0,4,0,1,335
2006,0,0,0,0,0,1,336
2003,14,0,2,5,0,1,337
1991,14,0,0,5,0,1,338
1998,7,0,1,3,0,1,339
1996,26,5,1,9,0,1,340
1992,34,1,0,3,1,1,341
1994,1,0,0,2,0,1,342
2004,4,0,0,1,0,1,343
1994,25,1,1,4,0,1,344
1994,11,0,0,0,0,1,342
1998,25,0,0,7,0,1,345
2001,0,0,0,0,0,1,346
1998,16,3,3,5,0,1,347
2004,9,0,0,5,0,1,348
1994,17,0,1,1,0,1,349
2004,23,1,1,2,0,1,350
1989,25,1,5,5,0,1,351
2002,0,0,0,0,0,1,352
2003,22,0,1,4,1,1,353
1993,29,0,0,7,0,1,354
1995,15,0,0,5,0,1,355
1998,17,0,1,2,0,1,356
2000,10,1,0,0,0,1,357
1995,1,0,0,2,0,1,358
2002,27,0,0,6,0,1,359
1996,15,1,1,4,1,1,360
1996,0,0,0,2,0,1,360
1994,20,1,0,0,1,1,361
2004,6,0,0,1,0,1,362
2002,35,0,1,6,1,1,363
1993,5,1,0,2,0,1,364
2001,12,1,1,4,0,1,365
2000,4,0,0,0,0,1,366
1994,10,0,0,2,0,1,367
1993,18,2,2,4,0,1,368
2000,2,0,0,0,1,1,369
2002,33,0,3,5,0,1,370
1994,13,1,1,4,0,1,371
1998,14,0,0,6,0,1,372
1997,4,0,0,1,0,1,373
1996,27,2,0,13,0,1,374
1989,6,1,1,1,0,1,375
1989,22,3,0,4,0,1,376
1997,1,0,0,0,0,1,377
1997,5,0,0,3,0,1,377
2002,17,0,2,2,0,1,378
1993,19,0,2,4,1,1,379
1996,22,0,4,3,0,1,380
2002,26,1,3,3,0,1,381
1998,20,1,0,4,0,1,382
1999,30,0,0,6,0,1,383
2003,4,1,1,1,0,1,384
1998,4,0,0,0,0,1,385
2004,0,0,0,0,0,1,386
1999,15,2,0,5,0,1,387
1996,14,1,0,3,0,1,388
1997,17,2,1,1,0,1,389
2004,9,2,0,1,0,1,390
2002,15,1,0,1,0,1,391
1994,27,1,1,8,0,1,392
1994,0,0,0,0,0,1,393
1994,0,0,0,0,0,1,393
1993,24,1,1,5,0,1,394
1995,13,0,1,3,0,1,395
2003,0,0,0,0,0,1,396
1993,3,0,0,1,0,1,397
1995,28,6,4,5,0,1,398
1995,31,2,0,2,0,1,399
